# MEAN_SAMPLE_SIZE = 50094
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.12139   -0.0042343      0.21277      0.71584 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      42    -0.069698   -0.0032836      0.14932      0.67967 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7       -0.282   -0.0054287      0.37976      0.77112 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13     0.017923   0.00047013      0.24286      0.47059 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16    -0.085949   -0.0025009      0.21961      0.65224 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.16676   -0.0043742      0.25457      0.74378 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41     -0.17574   -0.0081806      0.14712      0.88387 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18       0.3354     0.010351      0.21973     0.063463 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32      0.60732     0.024981      0.16412   0.00010789 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      0.16243    0.0062505       0.1768      0.17913 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20     -0.10465   -0.0034041      0.19938      0.70016 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26      0.32605     0.012091       0.1785     0.033883 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
