# MEAN_SAMPLE_SIZE = 90438
# TOTAL_GENES = 18882
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
ABBUD_LIF_SIGNALING_1_DN                 SET      23     -0.31779    -0.011085      0.19569       0.9478 ABBUD_LIF_SIGNALING_1_DN
ABBUD_LIF_SIGNALING_1_UP                 SET      42    -0.024795   -0.0011681      0.13734      0.57163 ABBUD_LIF_SIGNALING_1_UP
ABBUD_LIF_SIGNALING_2_DN                 SET       7      0.13754    0.0026479       0.3493      0.34688 ABBUD_LIF_SIGNALING_2_DN
ABBUD_LIF_SIGNALING_2_UP                 SET      13    -0.067157   -0.0017616      0.22338      0.61815 ABBUD_LIF_SIGNALING_2_UP
ABDELMOHSEN_ELAVL4_TARGETS               SET      16     -0.25973   -0.0075577      0.20198      0.90075 ABDELMOHSEN_ELAVL4_TARGETS
ABDULRAHMAN_KIDNEY_CANCER_VH...          SET      13     -0.11555    -0.003031      0.23415      0.68916 ABDULRAHMAN_KIDNEY_CANCER_VHL_DN
ABE_INNER_EAR                            SET      41     -0.16367   -0.0076185      0.13532      0.88676 ABE_INNER_EAR
ABE_VEGFA_TARGETS                        SET      18      0.19155    0.0059116      0.20211      0.17164 ABE_VEGFA_TARGETS
ABE_VEGFA_TARGETS_2HR                    SET      32       0.2166    0.0089093        0.151     0.075742 ABE_VEGFA_TARGETS_2HR
ABE_VEGFA_TARGETS_30MIN                  SET      28      -0.1642   -0.0063185      0.16262      0.84367 ABE_VEGFA_TARGETS_30MIN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...1         SET      20    -0.043761   -0.0014235      0.18339       0.5943 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN
ABRAHAM_ALPC_VS_MULTIPLE_MYE...2         SET      26      0.10155    0.0037657      0.16419      0.26814 ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP
ABRAMSON_INTERACT_WITH_AIRE              SET      41     -0.06461   -0.0030075      0.12305      0.70023 ABRAMSON_INTERACT_WITH_AIRE
ACEVEDO_LIVER_CANCER_DN                  SET     518    -0.062441      -0.0102     0.036738      0.95539 ACEVEDO_LIVER_CANCER_DN
ACEVEDO_LIVER_CANCER_UP                  SET     908   -0.0052343   -0.0011199     0.027159      0.57641 ACEVEDO_LIVER_CANCER_UP
ACEVEDO_LIVER_CANCER_WITH_H3...1         SET     159   -0.0044308  -0.00040489     0.071929      0.52456 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...2         SET     243     0.051405     0.005794     0.061816      0.20283 ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP
ACEVEDO_LIVER_CANCER_WITH_H3...3         SET      94     0.063311     0.004456     0.083029      0.22288 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN
ACEVEDO_LIVER_CANCER_WITH_H3...4         SET     119      0.12567    0.0099454      0.08645     0.073026 ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP
ACEVEDO_LIVER_TUMOR_VS_NORMA...1         SET     260   -0.0069479  -0.00080969      0.04978       0.5555 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN
ACEVEDO_LIVER_TUMOR_VS_NORMA...2         SET     807    -0.028936   -0.0058531     0.028277      0.84691 ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP
ACEVEDO_METHYLATED_IN_LIVER_...          SET     713     0.013005    0.0024791     0.034452       0.3529 ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...1         SET     338     0.038782    0.0051423     0.042816      0.18253 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN
ACEVEDO_NORMAL_TISSUE_ADJACE...2         SET     161    -0.016772   -0.0015422     0.061026      0.60828 ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP
ACOSTA_PROLIFERATION_INDEPEN...1         SET     108    -0.089319   -0.0067359     0.078717      0.87174 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN
ACOSTA_PROLIFERATION_INDEPEN...2         SET      81      0.10249    0.0066986     0.088642       0.1238 ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP
ADDYA_ERYTHROID_DIFFERENTIAT...          SET      71    -0.014038  -0.00085924      0.10033      0.55564 ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN
AFFAR_YY1_TARGETS_DN                     SET     236    -0.038018   -0.0042238     0.054011      0.75925 AFFAR_YY1_TARGETS_DN
AFFAR_YY1_TARGETS_UP                     SET     186    -0.045398   -0.0044837     0.063355      0.76317 AFFAR_YY1_TARGETS_UP
AGARWAL_AKT_PATHWAY_TARGETS              SET      10      0.12571    0.0028923      0.29618      0.33562 AGARWAL_AKT_PATHWAY_TARGETS
AGUIRRE_PANCREATIC_CANCER_CO...1         SET     230    -0.014103   -0.0015471     0.060568      0.59206 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN
AGUIRRE_PANCREATIC_CANCER_CO...2         SET     292     0.043159    0.0053255     0.050077      0.19439 AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
AIGNER_ZEB1_TARGETS                      SET      33    -0.048904   -0.0020427      0.15257      0.62571 AIGNER_ZEB1_TARGETS
AIYAR_COBRA1_TARGETS_DN                  SET      27      0.15331    0.0057934      0.16196      0.17193 AIYAR_COBRA1_TARGETS_DN
AIYAR_COBRA1_TARGETS_UP                  SET      38    -0.077357   -0.0034669      0.14291      0.70585 AIYAR_COBRA1_TARGETS_UP
AKL_HTLV1_INFECTION_DN                   SET      63     0.068105    0.0039274      0.10965      0.26726 AKL_HTLV1_INFECTION_DN
AKL_HTLV1_INFECTION_UP                   SET      26     -0.17552   -0.0065087      0.16903      0.85045 AKL_HTLV1_INFECTION_UP
ALCALAY_AML_BY_NPM1_LOCALIZA...1         SET     178    -0.014152   -0.0013676      0.06541      0.58564 ALCALAY_AML_BY_NPM1_LOCALIZATION_DN
ALCALAY_AML_BY_NPM1_LOCALIZA...2         SET     131     0.019829     0.001646     0.077455      0.39897 ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
ALCALA_APOPTOSIS                         SET      84     0.069841     0.004648      0.08845      0.21488 ALCALA_APOPTOSIS
ALFANO_MYC_TARGETS                       SET     231     0.055036    0.0060502     0.054338      0.15557 ALFANO_MYC_TARGETS
ALONSO_METASTASIS_DN                     SET      23    -0.074726   -0.0026065      0.16736      0.67238 ALONSO_METASTASIS_DN
ALONSO_METASTASIS_EMT_DN                 SET       5      0.20432    0.0033245       0.4457      0.32333 ALONSO_METASTASIS_EMT_DN
ALONSO_METASTASIS_EMT_UP                 SET      32    -0.079163   -0.0032562      0.13663      0.71883 ALONSO_METASTASIS_EMT_UP
ALONSO_METASTASIS_NEURAL_UP              SET      16      0.14563    0.0042374      0.20171      0.23516 ALONSO_METASTASIS_NEURAL_UP
ALONSO_METASTASIS_UP                     SET     177    -0.057276   -0.0055196     0.060298      0.82891 ALONSO_METASTASIS_UP
ALTEMEIER_RESPONSE_TO_LPS_WI...          SET     114    -0.086323   -0.0066873     0.080303       0.8588 ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION
AMBROSINI_FLAVOPIRIDOL_TREAT...          SET     104     -0.21626    -0.016006     0.083403      0.99524 AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53
AMIT_DELAYED_EARLY_GENES                 SET      18    -0.054329   -0.0016767      0.22153      0.59686 AMIT_DELAYED_EARLY_GENES
AMIT_EGF_RESPONSE_120_HELA               SET      65     0.046662    0.0027331      0.10008      0.32052 AMIT_EGF_RESPONSE_120_HELA
AMIT_EGF_RESPONSE_120_MCF10A             SET      40     -0.16189   -0.0074437      0.13061      0.89242 AMIT_EGF_RESPONSE_120_MCF10A
AMIT_EGF_RESPONSE_20_HELA                SET      11      0.13007    0.0031385      0.29161      0.32779 AMIT_EGF_RESPONSE_20_HELA
AMIT_EGF_RESPONSE_20_MCF10A              SET      12      0.13429    0.0033844      0.25522      0.29939 AMIT_EGF_RESPONSE_20_MCF10A
AMIT_EGF_RESPONSE_240_HELA               SET      59      0.12313    0.0068724      0.10882      0.12892 AMIT_EGF_RESPONSE_240_HELA
AMIT_EGF_RESPONSE_240_MCF10A             SET      21      0.29628    0.0098756      0.21687     0.085949 AMIT_EGF_RESPONSE_240_MCF10A
