# MEAN_SAMPLE_SIZE = 68407
# TOTAL_GENES = 17204
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17204    0.0087558     0.017452      0.01081        0.209 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17204      0.01931     0.037453     0.011235      0.04284 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17204     0.014464     0.027881     0.010064     0.075334 Adrenal_Gland
Artery_Aorta                        COVAR   17204     0.013486     0.027485     0.010297     0.095166 Artery_Aorta
Artery_Coronary                     COVAR   17204     0.018272     0.036321     0.011947     0.063088 Artery_Coronary
Artery_Tibial                       COVAR   17204    0.0091729     0.018865     0.010053      0.18078 Artery_Tibial
Bladder                             COVAR   17204    0.0010337    0.0020114     0.013083      0.46851 Bladder
Brain_Amygdala                      COVAR   17204   -0.0097285     -0.01654    0.0078761      0.89161 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17204   -0.0070612    -0.012449    0.0072441      0.83515 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17204   -0.0069507    -0.011981      0.00792      0.80992 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17204    0.0002629   0.00052692    0.0061255      0.48288 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17204    0.0010959    0.0021728    0.0063197      0.43117 Brain_Cerebellum
Brain_Cortex                        COVAR   17204   -0.0041538    -0.007562    0.0071673      0.71889 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17204   -0.0060361    -0.011103    0.0069031      0.80905 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17204    -0.010101    -0.017069    0.0080266      0.89588 Brain_Hippocampus
