# MEAN_SAMPLE_SIZE = 68407
# TOTAL_GENES = 17204
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17204     0.013091     0.025667     0.013532      0.16668
Adrenal_Gland       COVAR   17204     0.012255     0.023623     0.010355      0.11831
Bladder             COVAR   17204   -0.0082447    -0.016042     0.016123      0.69545
Blood               COVAR   17204    -0.013468    -0.024163     0.006241      0.98453
Blood_Vessel        COVAR   17204     0.010601     0.021484     0.011799      0.18447
Brain               COVAR   17204   -0.0038969   -0.0067544    0.0069243       0.7132
Breast              COVAR   17204     0.016059     0.030835     0.016072      0.15886
Cervix_Uteri        COVAR   17204     0.054233      0.10637     0.014369   8.0483e-05
Colon               COVAR   17204    -0.005562    -0.010395     0.016026      0.63573
Esophagus           COVAR   17204    -0.013503    -0.025396     0.017354      0.78174
Fallopian_Tube      COVAR   17204     0.027788     0.053822     0.014087     0.024281
Heart               COVAR   17204    0.0061251     0.010525    0.0095977      0.26168
Kidney              COVAR   17204   -0.0065804    -0.011559    0.0096786      0.75171
Liver               COVAR   17204   -0.0011102   -0.0019962    0.0065853      0.56694
Lung                COVAR   17204    -0.005426    -0.010472     0.010592      0.69576
Muscle              COVAR   17204   -0.0034967   -0.0066095     0.006911      0.69356
Nerve               COVAR   17204     0.024795      0.04983     0.010554    0.0094114
Ovary               COVAR   17204     0.025282     0.051177     0.010316    0.0071319
Pancreas            COVAR   17204    -0.021509    -0.035906    0.0088505      0.99245
Pituitary           COVAR   17204    0.0066368      0.01235    0.0083789      0.21416
Prostate            COVAR   17204   -0.0025238   -0.0047797     0.013877      0.57216
Salivary_Gland      COVAR   17204    -0.013515    -0.025112     0.010906      0.89237
Skin                COVAR   17204  -0.00045733  -0.00087068     0.010115      0.51803
Small_Intestine     COVAR   17204   -0.0099364     -0.01824     0.010855         0.82
Spleen              COVAR   17204   -0.0082798    -0.016385     0.007936      0.85159
Stomach             COVAR   17204    -0.028848    -0.052318     0.013553      0.98335
Testis              COVAR   17204   -0.0066929    -0.011533    0.0055719      0.88515
Thyroid             COVAR   17204   -0.0044509   -0.0087987     0.010988      0.65729
Uterus              COVAR   17204     0.047743     0.097142     0.012148   4.2649e-05
Vagina              COVAR   17204     0.016659       0.0318     0.012734     0.095401
