# MEAN_SAMPLE_SIZE = 28059
# TOTAL_GENES = 17204
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17204     0.013758     0.027424     0.011745      0.12073 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17204     0.019539     0.037898     0.012206     0.054733 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17204   -0.0035485   -0.0068402     0.010933      0.62724 Adrenal_Gland
Artery_Aorta                        COVAR   17204     0.040817     0.083189     0.011184   0.00013173 Artery_Aorta
Artery_Coronary                     COVAR   17204     0.052838      0.10503     0.012974   2.3361e-05 Artery_Coronary
Artery_Tibial                       COVAR   17204     0.028875     0.059384     0.010921    0.0040996 Artery_Tibial
Bladder                             COVAR   17204    0.0076482     0.014882     0.014214      0.29527 Bladder
Brain_Amygdala                      COVAR   17204    -0.010913    -0.018553    0.0085573      0.89889 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17204   -0.0096741    -0.017056    0.0078704      0.89049 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17204   -0.0084479    -0.014562    0.0086049      0.83688 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17204   -0.0013196   -0.0026448    0.0066553      0.57859 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17204    0.0013709    0.0027179    0.0068663      0.42088 Brain_Cerebellum
Brain_Cortex                        COVAR   17204   -0.0058384    -0.010629    0.0077871      0.77329 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17204   -0.0096144    -0.017685    0.0074998      0.90006 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17204   -0.0089299     -0.01509    0.0087209      0.84707 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17204    -0.015068    -0.025885    0.0088417      0.95582 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17204   -0.0089879    -0.015561     0.008298      0.86062 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17204   -0.0090328    -0.015338    0.0086814      0.85093 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17204    -0.016334    -0.029308    0.0094764       0.9576 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17204    -0.015612    -0.026823    0.0094108      0.95143 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17204     0.016842     0.032338     0.013842      0.11187 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17204    0.0085709     0.018347    0.0071376      0.11492 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17204    -0.010686    -0.023305    0.0053046      0.97802 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17204     0.022451     0.043935     0.013275     0.045408 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17204      0.02231     0.044093     0.012675     0.039206 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17204     0.020319     0.039698     0.013743     0.069651 Colon_Sigmoid
Colon_Transverse                    COVAR   17204     0.015383     0.028234     0.012538      0.10994 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17204     0.014355     0.028223     0.014045      0.15339 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17204   -0.0096813    -0.018688    0.0082936      0.87845 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17204     0.010179     0.020054       0.0136       0.2271 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17204     0.025358     0.049114      0.01299     0.025477 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17204     0.012489     0.022391     0.010346      0.11371 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17204   -0.0022508   -0.0037515    0.0098712      0.59018 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17204   -0.0013065   -0.0022919    0.0099602      0.55218 Kidney_Cortex
Kidney_Medulla                      COVAR   17204   -0.0061481    -0.011349     0.010217      0.72632 Kidney_Medulla
Liver                               COVAR   17204     0.006803     0.012233    0.0069182      0.16272 Liver
Lung                                COVAR   17204     0.029591     0.057108     0.009974    0.0015068 Lung
