ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000169174	PCSK9	1	55505221	55530525	1	protein_coding	255738	PCSK9	1.02507611210468e-10	0.264270736	1	15.41	2.13e-15	rs11591147	1
ENSG00000162407	PPAP2B	1	56960419	57110974	-1	protein_coding	8613	PPAP2B	0.961834123262929	-0.049380558	24	17.37	1.08e-14	rs17114046;rs72664358	2
ENSG00000031698	SARS	1	109756540	109780791	1	protein_coding	6301	SARS	0.999150650957633	-0.332037527	8	12.68	4.23e-12	rs67269326;rs3895559	3
ENSG00000143126	CELSR2	1	109792641	109818372	1	protein_coding	1952	CELSR2	0.999999199832348	0.807304437	41	18.47	9.48e-36	rs3895559;rs10858082;rs6657811;rs67269326;rs17035665;rs4970834;rs611917;rs12740374;rs651649	3
ENSG00000134222	PSRC1	1	109822178	109825808	-1	protein_coding	84722	PSRC1	1.74717788563073e-06	-0.208880013	34	18.47	9.48e-36	rs3895559;rs17035665;rs4970834;rs611917;rs12740374;rs67269326;rs651649;rs12127701	3
ENSG00000221986	MYBPHL	1	109834987	109849663	-1	protein_coding	343263	MYBPHL	0.00461844098878081	0.281706372	18	20.9	9.64e-09	rs651649;rs12127701	3
ENSG00000081026	MAGI3	1	113933371	114228545	1	protein_coding	260425	MAGI3	0.570580157400499	-0.477318183	1	2.8	2.18e-08	rs1230666	4
ENSG00000143498	TAF1A	1	222731244	222763275	-1	protein_coding	9015	TAF1A	6.60087794025323e-07	-0.09265048	13	10.43	1.56e-09	rs4525045	5
ENSG00000154305	MIA3	1	222791428	222841354	1	protein_coding	375056	MIA3	0.47138810555393	-0.616197151	62	22.2	1.42e-10	rs12749296;rs2270707	5
ENSG00000186063	AIDA	1	222841355	222886552	-1	protein_coding	64853	AIDA	0.0823723820518631	-1.192388865	28	17.03	1.42e-10	rs2270707;rs12749296	5
ENSG00000162819	BROX	1	222885895	222908538	1	protein_coding	148362	BROX	2.4755364239274e-05	1.32122969	16	17.03	1.06e-07	rs2270707;rs12749296	5
ENSG00000197520	FAM177B	1	222910549	222924147	1	protein_coding	400823	FAM177B	9.20960342032327e-06	-0.425513654	24	15.79	1.02e-11	rs2270707;rs12749296	5
ENSG00000138075	ABCG5	2	44039611	44066004	-1	protein_coding	64240	ABCG5	1.89797083861304e-15	1.020983846	3	12.82	3.6e-10	rs4299376	7
ENSG00000143921	ABCG8	2	44066103	44105605	1	protein_coding	64241	ABCG8	3.74527259993631e-16	-0.050037409	10	12.82	3.6e-10	rs4299376	7
ENSG00000168906	MAT2A	2	85766288	85772403	1	protein_coding	4144	MAT2A	0.733230032010008	-1.056808714	28	17.95	9.14e-10	rs6743030;rs55868816	8
ENSG00000115486	GGCX	2	85771846	85788670	-1	protein_coding	2677	GGCX	1.19797696730827e-08	-0.045096532	26	17.95	9.14e-10	rs6743030;rs55868816	8
ENSG00000118640	VAMP8	2	85788685	85809154	1	protein_coding	8673	VAMP8	0.270489594281997	-0.056335469	27	18.89	1.68e-09	rs6743030	8
ENSG00000168899	VAMP5	2	85811531	85820535	1	protein_coding	10791	VAMP5	0.0516197457018348	0.554615104	15	18.89	3.68e-09	rs6743030	8
ENSG00000168894	RNF181	2	85822848	85824736	1	protein_coding	51255	RNF181	3.13991934782278e-09	-0.10549856	1	3.187	NA	rs6743030	8
ENSG00000182329	AC079354.1	2	202937978	203062585	1	protein_coding	100652824	NA	NA	NA	1	0.022	4.89e-07	rs146006317	10
ENSG00000055044	NOP58	2	203130439	203168389	1	protein_coding	51602	NOP58	0.509478886469782	0.121100695	1	11	4.83e-08	rs145327575	10
ENSG00000204217	BMPR2	2	203241659	203432474	1	protein_coding	659	BMPR2	0.996668086457278	-3.79180093	8	9.316	2.5e-08	rs72928925;rs146006317	10
ENSG00000138439	FAM117B	2	203499901	203634480	1	protein_coding	150864	FAM117B	0.0673870151606627	-0.487936546	9	7.852	2.25e-17	rs72926788;rs72928925;rs139621023;rs146006317;rs4673240	10
ENSG00000163596	ICA1L	2	203640690	203736708	-1	protein_coding	130026	ICA1L	0.442027586412226	-0.760182865	126	15.97	1.1e-20	rs4673240;rs1653;rs139621023	10
ENSG00000138442	WDR12	2	203739505	203879521	-1	protein_coding	55759	WDR12	0.609006890639148	-0.727801816	206	20.2	6.78e-21	rs4673240;rs1653;rs72926788;rs539997380;rs139621023	10
ENSG00000138380	CARF	2	203776937	203851786	1	protein_coding	79800	CARF	0.00454103717523082	-1.326775796	123	17.48	6.78e-21	rs4673240;rs1653;rs72926788;rs539997380	10
ENSG00000144426	NBEAL1	2	203879602	204091101	1	protein_coding	65065	NBEAL1	1.09294225815105e-10	-1.740672027	119	14.36	7.6e-21	rs1653;rs4673240;rs139621023;rs561607331	10
ENSG00000119004	CYP20A1	2	204103663	204163009	1	protein_coding	57404	CYP20A1	7.40838062967993e-10	-0.358177346	44	23.7	1e-18	rs1653;rs4673240;rs139644567;rs139621023	10
ENSG00000138443	ABI2	2	204192942	204312446	1	protein_coding	10152	ABI2	0.953329215745317	-2.083345139	47	12.59	5.47e-17	rs12466364;rs1653;rs139621023;rs4673240;rs72926788;rs16839813	10
ENSG00000173166	RAPH1	2	204259068	204400133	-1	protein_coding	65059	RAPH1	0.957851233210029	-0.345684761	69	15.8	4.05e-12	rs1653;rs72926788;rs12466364;rs16839813;rs139621023;rs139644567	10
ENSG00000115414	FN1	2	216225163	216300895	-1	protein_coding	2335	FN1	0.0644415382988527	0.193079429	21	22	6.66e-09	rs1250259;rs56137176	11
ENSG00000160145	KALRN	3	123798870	124445172	1	protein_coding	8997	KALRN	0.999996915329978	-0.64291779	7	10.17	1.79e-10	rs62265615	12
ENSG00000114491	UMPS	3	124449213	124464040	1	protein_coding	7372	UMPS	0.000109217442760822	1.312768957	12	10.17	1.79e-10	rs62265615	12
ENSG00000082781	ITGB5	3	124480795	124620265	-1	protein_coding	3693	ITGB5	0.000480018789158923	1.253335765	11	21.2	3.7e-10	rs62265615	12
ENSG00000174579	MSL2	3	135867764	135916083	-1	protein_coding	55167	MSL2	0.889663741822694	-1.742045868	2	11.46	1.96e-07	rs13075615	13
ENSG00000114054	PCCB	3	135969148	136056738	1	protein_coding	5096	PCCB	0.000735839433891269	-0.385160254	3	7.419	8.85e-07	rs13075615	13
ENSG00000118007	STAG1	3	136055077	136471220	-1	protein_coding	10274	STAG1	0.999999910022904	-0.647637604	14	11.32	9.97e-09	rs13075615	13
ENSG00000168917	SLC35G2	3	136537489	136574734	1	protein_coding	80723	SLC35G2	0.0663953363472009	-0.300343122	1	0.293	5.16e-08	rs13075615	13
ENSG00000158092	NCK1	3	136581050	136668665	1	protein_coding	4690	NCK1	0.00103502587808822	-0.568989094	2	7.133	4.85e-07	rs13075615	13
ENSG00000174564	IL20RB	3	136665072	136729927	1	protein_coding	53833	IL20RB	0.000354183473406977	0.165775461	1	7.133	4.85e-07	rs13075615	13
ENSG00000181322	NME9	3	137980279	138048728	-1	protein_coding	347736	NME9	2.62520678425012e-05	-0.73564367	3	2.153	1.4e-08	rs185244	14
ENSG00000158186	MRAS	3	138066539	138124375	1	protein_coding	22808	MRAS	0.859946833275581	-0.413633907	31	14.67	1.84e-09	rs185244	14
ENSG00000114790	ARHGEF26	3	153838792	153975616	1	protein_coding	26084	ARHGEF26	5.99162897861342e-06	-0.076339008	134	16.32	1.64e-09	rs2689330;rs357493	15
ENSG00000174953	DHX36	3	153990335	154042286	-1	protein_coding	170506	DHX36	0.99055580055265	-0.635375291	27	14.01	4.89e-09	rs2689330	15
ENSG00000174948	GPR149	3	154055461	154147504	-1	protein_coding	344758	GPR149	2.6464400182055e-05	0.039091	22	14.05	3.71e-09	rs2689330	15
ENSG00000138675	FGF5	4	81187753	81257834	1	protein_coding	2250	FGF5	4.31893230685642e-05	0.709603293	6	11.91	2.23e-08	rs10857147	16
ENSG00000151617	EDNRA	4	148402069	148466106	1	protein_coding	1909	EDNRA	0.986016088385212	-0.145871514	69	17.93	2.12e-13	rs80157433;rs6537481;rs908581	17
ENSG00000164116	GUCY1A3	4	156587863	156653501	1	protein_coding	2982	GUCY1A3	1.41368686812155e-06	1.520862119	27	10.8	2.78e-11	rs11724647	18
