# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = BIOCARTA_PLATELETAPP_PATHWAY (set)
# _SET1_  NGENES = 11
# _SET1_  P-VALUE = 6.49695e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000081052     2  227867427  228028829    481      38  279796      0.48351      0.16897   -1.9429e-15      0.48351
_SET1_   ENSG00000169031     2  228029281  228179508    786      60  278509      0.15225      0.28052   -1.9706e-15      0.15225
_SET1_   ENSG00000088926     4  187187099  187210835     75      15  278542        1.338     0.041323   -1.9984e-15        1.338
_SET1_   ENSG00000122194     6  161123270  161174347    141      13  281139       6.2175   1.5243e-11   -1.7764e-15       6.2175
_SET1_   ENSG00000106366     7  100770370  100782547     50      12  277713     -0.13921      0.40243   -1.9706e-15     -0.13921
_SET1_   ENSG00000104368     8   42032236   42065242     60      11  273861       1.2289     0.055676   -1.9984e-15       1.2289
_SET1_   ENSG00000122861    10   75668935   75677255     16       3  274720       1.2827     0.058411   -1.9984e-15       1.2827
_SET1_   ENSG00000180210    11   46740730   46761056     45       5  283917     -0.37923      0.52623   -1.9429e-15     -0.37923
_SET1_   ENSG00000187498    13  110801318  110959496    770      75  281280       6.5296   1.6851e-12   -1.7764e-15       6.5296
_SET1_   ENSG00000134871    13  110958159  111165374   1013      94  279064       4.1522   2.5758e-06   -1.7764e-15       4.1522
_SET1_   ENSG00000142192    21   27252861   27543446    667      62  278060      -1.2861      0.80832   -1.9984e-15      -1.2861

# _SET2_  VARIABLE = GOBP_CELLULAR_SENESCENCE (set)
# _SET2_  NGENES = 94
# _SET2_  P-VALUE = 4.4004e-07
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000084073     1   40723779   40759856     49      10  273283      0.89623      0.10788   -1.9984e-15      0.89623
_SET2_   ENSG00000065978     1   43148098   43168020     43      10  272867       1.0413     0.083075   -1.9984e-15       1.0413
_SET2_   ENSG00000198890     1  107599267  107601916      2       1  293106       1.1857     0.074648   -1.9984e-15       1.1857
