GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	37	15	298552	0.92225	0.1782	SAMD11
ENSG00000268179	1	861264	866445	12	6	293140	0.2061	0.41836	AL645608.1
ENSG00000188976	1	879584	894689	39	6	307056	1.8574	0.031629	NOC2L
ENSG00000187961	1	895967	901095	13	3	305573	1.8002	0.035913	KLHL17
ENSG00000187583	1	901877	911245	16	8	310796	2.6902	0.0035704	PLEKHN1
ENSG00000187642	1	910579	917497	17	4	318062	1.7967	0.036192	C1orf170
ENSG00000188290	1	934342	935552	2	1	309517	0.6041	0.27289	HES4
ENSG00000187608	1	948803	949920	1	1	320570	1.6912	0.045401	ISG15
ENSG00000188157	1	955503	991496	74	12	313216	0.89971	0.18414	AGRN
ENSG00000237330	1	1006346	1009687	8	3	323805	-0.36627	0.64292	RNF223
ENSG00000131591	1	1017198	1051741	66	17	313806	-1.0015	0.84171	C1orf159
ENSG00000162571	1	1109264	1133315	98	16	312158	0.006968	0.49722	TTLL10
ENSG00000186891	1	1138888	1142071	6	2	316159	1.4605	0.072072	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	3	323215	0.55176	0.29056	TNFRSF4
ENSG00000078808	1	1152288	1167411	100	5	322280	1.5142	0.064984	SDF4
ENSG00000176022	1	1167629	1170421	6	2	314333	1.1739	0.12023	B3GALT6
ENSG00000184163	1	1177826	1182102	9	3	313359	1.513	0.065144	FAM132A
ENSG00000160087	1	1189289	1209265	44	9	305119	1.3925	0.081881	UBE2J2
ENSG00000162572	1	1215816	1227409	25	11	305666	0.74055	0.22948	SCNN1D
ENSG00000131584	1	1227756	1244989	34	10	307285	-0.49944	0.69127	ACAP3
ENSG00000169972	1	1243947	1247057	3	2	304792	0.90672	0.18228	PUSL1
ENSG00000127054	1	1246965	1260071	12	5	300579	0.10004	0.46016	CPSF3L
ENSG00000224051	1	1260136	1264277	7	3	314476	-0.49855	0.69095	GLTPD1
ENSG00000169962	1	1266694	1270686	10	4	309315	-0.21119	0.58363	TAS1R3
ENSG00000107404	1	1270656	1284730	31	10	304469	-0.26867	0.60591	DVL1
ENSG00000162576	1	1288069	1297157	16	7	309035	-1.849	0.96777	MXRA8
ENSG00000175756	1	1309110	1310875	5	3	312583	-0.93958	0.82628	AURKAIP1
ENSG00000221978	1	1321091	1334708	15	6	301258	-0.99086	0.83912	CCNL2
ENSG00000224870	1	1334902	1337426	4	2	313018	-1.0854	0.86112	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	5	3	313164	-0.022882	0.50913	MRPL20
ENSG00000235098	1	1353800	1357149	7	4	302501	-0.21247	0.58413	ANKRD65
ENSG00000205116	1	1361508	1363167	5	2	291433	0.7014	0.24153	TMEM88B
ENSG00000179403	1	1370241	1378262	6	2	317166	-0.33476	0.6311	VWA1
ENSG00000215915	1	1385069	1405538	26	9	304553	-0.018166	0.50725	ATAD3C
ENSG00000160072	1	1407143	1433228	33	13	297714	-0.68708	0.75398	ATAD3B
ENSG00000197785	1	1447531	1470067	49	13	298984	0.010169	0.49594	ATAD3A
ENSG00000205090	1	1470554	1475833	6	4	304582	0.54409	0.29319	TMEM240
ENSG00000160075	1	1477053	1510249	53	12	307082	0.23889	0.4056	SSU72
ENSG00000215014	1	1510355	1511373	2	1	299334	-0.71021	0.76121	AL645728.1
ENSG00000228594	1	1533392	1535476	2	1	314514	0.38182	0.3513	C1orf233
ENSG00000197530	1	1550795	1565990	16	6	301944	1.9203	0.027413	MIB2
ENSG00000189409	1	1567474	1570639	1	1	291139	0.29166	0.38527	MMP23B
ENSG00000248333	1	1570603	1590473	17	3	297210	1.9856	0.023541	CDK11B
ENSG00000189339	1	1592939	1624167	48	11	301390	1.9215	0.027334	SLC35E2B
ENSG00000008128	1	1634169	1655766	12	6	293730	-0.75457	0.77475	CDK11A
ENSG00000215790	1	1656277	1677431	33	6	300564	1.743	0.040671	SLC35E2
ENSG00000008130	1	1682671	1711896	40	10	312795	1.4662	0.071303	NADK
ENSG00000078369	1	1716729	1822495	129	19	307161	1.0787	0.14036	GNB1
ENSG00000169885	1	1846266	1848735	5	2	325772	2.1806	0.014606	CALML6
ENSG00000178821	1	1849029	1850712	3	2	320347	2.0818	0.018679	TMEM52
ENSG00000142609	1	1853396	1935276	293	21	310844	1.3075	0.095525	C1orf222
ENSG00000187730	1	1950780	1962192	30	7	314251	-0.69936	0.75784	GABRD
ENSG00000067606	1	1981909	2116834	360	26	313874	1.3648	0.086152	PRKCZ
ENSG00000162585	1	2115903	2144159	55	13	316079	1.9471	0.02576	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	321886	1.1477	0.12554	AL590822.2
ENSG00000203301	1	2143360	2145620	6	3	317299	2.3043	0.010604	AL590822.1
ENSG00000157933	1	2160134	2241558	242	42	317432	2.7545	0.0029392	SKI
ENSG00000116151	1	2252692	2323146	294	32	318307	0.24841	0.40191	MORN1
ENSG00000269753	1	2258581	2259042	1	1	260987	-1.5789	0.94282	AL589739.1
ENSG00000157916	1	2323267	2336883	31	8	316344	-0.25441	0.60041	RER1
ENSG00000157911	1	2336236	2345236	23	7	321242	-0.9471	0.82821	PEX10
ENSG00000149527	1	2357419	2436969	260	38	316441	-0.018483	0.50737	PLCH2
ENSG00000157881	1	2439972	2458039	17	8	315676	1.0209	0.15364	PANK4
ENSG00000197921	1	2460184	2461684	3	2	318725	1.9758	0.024091	HES5
ENSG00000157873	1	2487078	2496821	22	5	322300	0.5438	0.29329	TNFRSF14
ENSG00000157870	1	2517930	2522908	8	4	320340	1.4975	0.06713	FAM213B
ENSG00000142606	1	2522078	2564481	75	12	314611	1.3096	0.095172	MMEL1
ENSG00000215912	1	2567415	2718286	311	21	284658	1.2107	0.113	TTC34
ENSG00000169717	1	2938046	2939465	3	1	331790	3.105	0.00095148	ACTRT2
ENSG00000142611	1	2985732	3355185	1183	152	318288	1.4616	0.071923	PRDM16
ENSG00000130762	1	3370990	3397677	74	13	318171	-0.45782	0.67646	ARHGEF16
ENSG00000162591	1	3406484	3528059	445	77	316631	1.287	0.09905	MEGF6
ENSG00000158109	1	3541566	3546691	12	3	317567	1.4781	0.069691	TPRG1L
ENSG00000116213	1	3547331	3569325	45	12	308051	1.3073	0.095556	WRAP73
ENSG00000078900	1	3569084	3652765	278	46	316728	0.26605	0.3951	TP73
ENSG00000162592	1	3668962	3688209	57	11	320892	-0.24384	0.59632	CCDC27
ENSG00000235169	1	3689352	3692546	9	4	301737	1.3178	0.093792	SMIM1
ENSG00000130764	1	3696784	3713068	66	12	321057	2.0519	0.02009	LRRC47
ENSG00000116198	1	3728645	3773778	209	20	320193	0.50204	0.30782	CEP104
ENSG00000169598	1	3773845	3801993	153	18	321989	0.59737	0.27513	DFFB
ENSG00000198912	1	3805689	3816857	39	7	322039	0.02071	0.49174	C1orf174
ENSG00000196581	1	4714792	4852594	660	80	323262	-0.12307	0.54898	AJAP1
ENSG00000131697	1	5922871	6052533	432	20	323279	1.1805	0.11891	NPHP4
ENSG00000069424	1	6051526	6161253	331	54	314977	1.4194	0.077892	KCNAB2
