# ALPHA = 0.05
# NUMBER_OF_TESTS = 17009

# _SET1_  VARIABLE = GOBP_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL (set)
# _SET1_  NGENES = 12
# _SET1_  P-VALUE = 1.16336e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000180667     1  207217194  207226325     15       5  324681      0.48978      0.24821    6.6613e-16      0.48978
_SET1_   ENSG00000068912     2   54014181   54045956     63      11  320353       1.6811     0.028134    6.6613e-16       1.6811
_SET1_   ENSG00000134109     3    5229331    5261642     48      16  316451        1.539      0.04168    6.6613e-16        1.539
_SET1_   ENSG00000198833     6   90036344   90062567     50      16  312548      0.61155      0.21026    6.6613e-16      0.61155
_SET1_   ENSG00000174672    11    1411129    1483919    351      29  316109       1.5247     0.036939    6.6613e-16       1.5247
_SET1_   ENSG00000198168    11   22835345   22851845     25       5  321442      -0.3209      0.54406    6.6613e-16      -0.3209
_SET1_   ENSG00000135506    12   58087738   58115340     45      10  319334       1.2676     0.068634    6.6613e-16       1.2676
_SET1_   ENSG00000134882    13   99853028  100038688    371      28  316283     -0.81321      0.71356    6.6613e-16     -0.81321
_SET1_   ENSG00000072849    17    5374571    5390131     31      10  323711       1.0523      0.10973    6.6613e-16       1.0523
_SET1_   ENSG00000088298    20   33703167   33865928    365      22  319021      0.94846         0.11    6.6613e-16      0.94846
_SET1_   ENSG00000184787    21   46188955   46221934    116      15  319977       1.5073     0.039993    6.6613e-16       1.5073
_SET1_   ENSG00000099958    22   24176690   24181315     11       3  323419     -0.38156      0.59231    6.6613e-16     -0.38156

# _SET2_  VARIABLE = GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE (set)
# _SET2_  NGENES = 5
# _SET2_  P-VALUE = 6.7973e-08
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000110245    11  116700422  116703788      7       4  324045       3.0772   0.00060185    4.4409e-16       3.0772
_SET2_   ENSG00000166035    15   58702768   58861151    514      72  319244       1.7665     0.022123    6.6613e-16       1.7665
_SET2_   ENSG00000130203    19   45409011   45412650      6       3  327797       6.3547   1.0202e-11    8.8818e-16       6.3547
_SET2_   ENSG00000130208    19   45417504   45422606     15       6  308751        3.427   0.00016233    4.4409e-16        3.427
_SET2_   ENSG00000234906    19   45449243   45452822     20       3  315173       1.8098     0.022236    6.6613e-16       1.8098

# _SET3_  VARIABLE = GOMF_APOLIPOPROTEIN_BINDING (set)
