ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000168906	MAT2A	2	85766288	85772403	1	protein_coding	4144	MAT2A	0.733230032010008	-1.056808714	28	17.95	1.4e-09	rs6731005	1
ENSG00000115486	GGCX	2	85771846	85788670	-1	protein_coding	2677	GGCX	1.19797696730827e-08	-0.045096532	26	17.95	3.53e-09	rs6731005	1
ENSG00000118640	VAMP8	2	85788685	85809154	1	protein_coding	8673	VAMP8	0.270489594281997	-0.056335469	27	18.89	6.43e-09	rs6731005	1
ENSG00000168899	VAMP5	2	85811531	85820535	1	protein_coding	10791	VAMP5	0.0516197457018348	0.554615104	15	18.89	6.43e-09	rs6731005	1
ENSG00000168894	RNF181	2	85822848	85824736	1	protein_coding	51255	RNF181	3.13991934782278e-09	-0.10549856	1	3.187	NA	rs6731005	1
ENSG00000073711	PPP2R3A	3	135684515	135866733	1	protein_coding	5523	PPP2R3A	0.920487875254504	-0.863679102	9	8.061	7.69e-07	rs1471741	2
ENSG00000174579	MSL2	3	135867764	135916083	-1	protein_coding	55167	MSL2	0.889663741822694	-1.742045868	7	15.53	9.42e-07	rs1471741	2
ENSG00000114054	PCCB	3	135969148	136056738	1	protein_coding	5096	PCCB	0.000735839433891269	-0.385160254	27	9.137	7.98e-08	rs1471741	2
ENSG00000118007	STAG1	3	136055077	136471220	-1	protein_coding	10274	STAG1	0.999999910022904	-0.647637604	75	6.381	4.12e-09	rs1471741	2
ENSG00000145390	USP53	4	120133742	120216672	1	protein_coding	54532	USP53	0.00105335346562689	-0.952036004	18	10.75	4.51e-07	rs4643791	3
ENSG00000164096	C4orf3	4	120218207	120225600	-1	protein_coding	401152	C4orf3	0.868030873638966	-0.553423225	11	10.75	1.18e-05	rs4643791	3
ENSG00000145384	FABP2	4	120238405	120243545	-1	protein_coding	2169	FABP2	0.00117790515234333	2.964328679	4	3.114	4.95e-07	rs4643791	3
ENSG00000138735	PDE5A	4	120415550	120550146	-1	protein_coding	8654	PDE5A	0.00339090594474959	-0.799946664	49	10.57	1.22e-07	rs4643791	3
ENSG00000112137	PHACTR1	6	12717893	13288645	1	protein_coding	221692	PHACTR1	0.664117315162539	NA	68	13.58	3.29e-20	rs9381401;rs9349379;rs4714955	4
ENSG00000146453	PNLDC1	6	160221298	160241736	1	protein_coding	154197	PNLDC1	2.5447781123909e-08	0.054243557	2	6.927	4.83e-07	rs9457740;rs144078421	5
ENSG00000197081	IGF2R	6	160390131	160534539	1	protein_coding	3482	IGF2R	0.999999196216303	-0.312060143	34	8.478	3.93e-10	rs144078421;rs9457740;rs9295128	5
ENSG00000175003	SLC22A1	6	160542821	160579750	1	protein_coding	6580	SLC22A1	1.23977716739769e-13	-0.158083671	11	24	NA	rs9295128;rs144078421	5
ENSG00000112499	SLC22A2	6	160592093	160698670	-1	protein_coding	6582	SLC22A2	1.4191712191388e-09	0.905296138	20	14.96	4.51e-22	rs182443492;rs116857939;rs12203303;rs9295128;rs524142;rs386453	5
ENSG00000146477	SLC22A3	6	160769300	160876014	1	protein_coding	6581	SLC22A3	3.31638540911901e-05	0.310629054	99	12.64	2.5e-25	rs9295128;rs386453;rs524142;rs376563;rs12203303;rs117733303;rs182443492;rs1810126;rs186696265;rs116857939	5
ENSG00000198670	LPA	6	160952515	161087407	-1	protein_coding	4018	LPA	2.4422277924849e-32	0.042144435	105	16.7	2.09e-52	rs376563;rs186696265;rs117733303;rs9295128;rs12203303;rs6905073;rs118039278;rs76735376;rs56393506	5
ENSG00000122194	PLG	6	161123270	161174347	1	protein_coding	5340	PLG	0.00243511733948206	0.479258267	59	11.99	3.33e-32	rs118039278;rs62436704;rs182443492	5
ENSG00000085511	MAP3K4	6	161412759	161538417	1	protein_coding	4216	MAP3K4	0.999991910638856	NA	1	1.837	6.09e-16	rs141766382	5
ENSG00000026652	AGPAT4	6	161551011	161695093	-1	protein_coding	56895	AGPAT4	0.674499951839515	0.748253089	2	2.36	7.52e-06	rs141766382	5
ENSG00000164867	NOS3	7	150688083	150711676	1	protein_coding	4846	NOS3	2.21161070571318e-05	0.132489185	1	12.89	2.79e-08	rs3918226	6
ENSG00000264545	RP11-145E5.5	9	21802635	22032985	1	protein_coding	NA	NA	NA	NA	73	12.84	3.96e-20	rs7041637;rs780025687;rs3731239;rs7035484;rs1333039;rs61271866;rs35720900;rs7028268;rs62555370;rs7857345	7
ENSG00000224854	C9orf53	9	21967137	21967738	1	protein_coding	NA	C9orf53	NA	NA	4	7.778	3.3e-12	rs7041637;rs780025687;rs3731239	7
ENSG00000147889	CDKN2A	9	21967751	21995300	-1	protein_coding	1029	CDKN2A	0.357648776382819	-0.259234065	17	7.917	5.98e-20	rs7041637;rs780025687;rs3731239;rs7035484;rs1333039;rs61271866;rs35720900;rs7028268;rs62555370	7
ENSG00000147883	CDKN2B	9	22002902	22009362	-1	protein_coding	1030	CDKN2B	0.281057556695991	-1.806188464	31	12.3	5.98e-20	rs7035484;rs1333039;rs61271866;rs35720900;rs7028268;rs62555370	7
ENSG00000073060	SCARB1	12	125261402	125367214	-1	protein_coding	949	SCARB1	0.0772244034409674	NA	11	5.524	7.39e-12	rs11057830	8
ENSG00000136378	ADAMTS7	15	79051545	79103773	-1	protein_coding	11173	ADAMTS7	2.98948787387487e-07	NA	161	17.55	3.97e-10	rs62012628;rs12592721;rs12900168;rs1077190;rs7179953	9
ENSG00000185787	MORF4L1	15	79102829	79190475	1	protein_coding	10933	MORF4L1	0.802941002940311	0.191369587	181	15.2	1.27e-11	rs12592721;rs7179953;rs11632963	9
ENSG00000130164	LDLR	19	11200038	11244492	1	protein_coding	3949	LDLR	2.59266073718312e-16	0.415051182	45	13.85	4.4e-09	rs73015016	10
ENSG00000130202	PVRL2	19	45349432	45392485	1	protein_coding	5819	PVRL2	0.531937435077773	-0.314456223	4	16.74	3.88e-07	rs10414043	11
ENSG00000130204	TOMM40	19	45393826	45406946	1	protein_coding	10452	TOMM40	0.963682323765023	NA	13	25.1	6.26e-10	rs10414043;rs56131196;rs7412	11
